#Position (bp)	Coverage
3088287.0	50.79799218023908
9264860.0	72.51397133972644
1.5441433E7	69.31618989420616
2.1618006E7	72.93592302980073
2.7794579E7	67.5830587339889
3.3971152E7	70.02585744089485
4.0147725E7	79.74044891144321
4.6324298E7	68.51968300964081
5.2500871E7	94.63841003294718
5.8677444E7	119.39642324888227
6.4854017E7	123.29907051379091
7.103059E7	135.80110854503465
7.7207163E7	134.7874280337821
8.3383736E7	131.78111827738562
8.9560309E7	119.77204147191816
9.5736882E7	131.95177724016006
1.01913455E8	212.36086094712803
1.08090028E8	93.21024075580165
1.14266601E8	96.11314115850884
1.20443174E8	104.60591632844209
1.26619747E8	0.0
1.3279632E8	0.0
1.38972893E8	0.0
1.45149466E8	111.31802579571459
1.51326039E8	84.33448993123996
1.57502612E8	71.21524426382186
1.63679185E8	89.38228579204403
1.69855758E8	103.75990916832245
1.76032331E8	100.24208938584123
1.82208904E8	98.68391193630532
1.88385477E8	127.84597347784175
1.9456205E8	131.76606102159752
2.00738623E8	85.36657010535639
2.06915196E8	88.77065443213296
2.13091769E8	100.51480162691259
2.19268342E8	116.71056549709245
2.25444915E8	73.78260221091419
2.31621488E8	85.69286695672086
2.37798061E8	119.90914192052686
2.43974634E8	112.92939882836939
2.480096715E8	72.41545625900876
2.51097958E8	74.45483321158997
2.5632778E8	107.30368379653906
2.62504353E8	108.9613641388459
2.68680926E8	84.93956721152486
2.74857499E8	83.73976030742249
2.81034072E8	107.24744560838033
2.87210645E8	118.70611634251519
2.93387218E8	106.70631622176592
2.99563791E8	99.78186442730834
3.05740364E8	120.78752554247349
3.11916937E8	124.21066539823477
3.1809351E8	98.35667413445191
3.24270083E8	70.5388624989887
3.30446656E8	89.72639551774228
3.36623229E8	153.3322211099989
3.42799802E8	64.97683449641464
3.48976375E8	114.95220409374073
3.55152948E8	212.5595953274927
3.61329521E8	182.28071010746837
3.67506094E8	91.37755985893708
3.73682667E8	80.72889868126883
3.7985924E8	117.02039156341625
3.86035813E8	111.45642052565707
3.92212386E8	123.38684307920059
3.98388959E8	144.95241482454222
4.04565532E8	112.76133962529934
4.10742105E8	120.44584922417846
4.16918678E8	116.22518647368571
4.23095251E8	109.1751301605925
4.29271824E8	100.3968123399676
4.35448397E8	82.84302925989672
4.4162497E8	123.22884090344999
4.47801543E8	121.68929664908998
4.53978116E8	105.56029661370656
4.60154689E8	114.97177436972954
4.66331262E8	70.02890700074741
4.72507835E8	113.287390922005
4.78684408E8	92.70806497577658
4.84860981E8	78.3440651927059
4.895496095E8	57.945021499477996
4.92637896E8	156.74621681964774
4.97214127E8	93.52260839242125
5.033907E8	76.0876600237561
5.09567273E8	106.30245311789412
5.15743846E8	133.08548590660496
5.21920419E8	100.53788159356648
5.28096992E8	80.24654664411109
5.34273565E8	83.4047554251963
5.40450138E8	57.36564878979426
5.46626711E8	95.5448498040923
5.52803284E8	93.51149425287356
5.58979857E8	109.89995371798828
5.6515643E8	94.216308667438
5.71333003E8	117.22430830039525
5.77509576E8	87.83652358067931
5.83686149E8	135.94637521622897
5.89862722E8	107.23442952480502
5.96039295E8	104.16066319418971
6.02215868E8	117.83009732183825
6.08392441E8	87.66485129141664
6.14569014E8	89.13451891241095
6.20745587E8	86.04752882237709
6.2692216E8	104.97392009076911
6.33098733E8	110.05517551911055
6.39275306E8	119.59539665564846
6.45451879E8	106.74686071350143
6.51628452E8	122.94060277187064
6.57805025E8	135.63680627777254
6.63981598E8	118.04357945082633
6.70158171E8	140.3161372299873
6.76334744E8	93.26359263712885
6.82511317E8	106.87396025878003
6.87522557E8	95.01932415591114
6.906108435E8	64.16715195341247
6.94864463E8	65.66357609190749
7.01041036E8	37.77283242176993
7.07217609E8	119.28679235884536
7.13394182E8	119.80899430155551
7.19570755E8	39.501075929910854
7.25747328E8	110.28761633919338
7.31923901E8	113.00047126362915
7.38100474E8	114.43350793526699
7.44277047E8	106.3087574492495
7.5045362E8	108.5615141955836
7.56630193E8	153.5494866529774
7.62806766E8	120.14349880497788
7.68983339E8	97.872663576357
7.75159912E8	115.49075022023285
7.81336485E8	103.06939991872488
7.87513058E8	111.9829442429737
7.93689631E8	118.16968728189657
7.99866204E8	110.82216200555584
8.06042777E8	118.26994345663874
8.1221935E8	110.42239382239383
8.18395923E8	146.0854700854701
8.24572496E8	65.0369461486026
8.30749069E8	116.81495387522689
8.36925642E8	108.05654178515226
8.43102215E8	103.04274487253211
8.49278788E8	128.683056099152
8.55455361E8	125.27226686283386
8.61631934E8	123.55916509730069
8.67808507E8	143.8329355608592
8.7398508E8	103.55311260090299
8.78366716E8	90.25636698373734
8.814550025E8	56.85595561436497
8.86338226E8	92.64027165667221
8.92514799E8	99.66599767090364
8.98691372E8	90.0018613885959
9.04867945E8	115.44519621109607
