Node1	Node2	Score
MRPL1	MRPL11	0.999
RPS11	EIF3H	0.989
KAT2B	TAF9	0.961
RPL13A	RPS27A	0.999
RPS11	RPS27L	0.999
RPL10	RPS27L	0.991
NDC80	CCNB2	0.998
MRPS18C	MRPL20	0.996
SEC61G	RPS21	0.997
MRPL43	MRPS21	0.979
MRPL51	MRPL13	0.989
RPL9	RPL14	0.999
LSS	MVD	0.978
RPS20	RPS13	0.999
RPL38	RPL15	0.999
SLC16A1	BSG	0.986
RPL19	RPL37	0.999
RPL38	RPS4X	0.999
RPL15	RPS27L	0.999
RPS20	RPL34	0.999
RPL31	RPL36AL	0.997
NDUFA2	NDUFB1	0.998
MRPL35	MRPL17	0.993
RPL37A	RPS29	0.999
RPS16	RPL35	0.999
RPLP0	EIF3H	0.963
RPS21	RPL39	0.999
EIF3E	FAU	0.982
RPL36AL	RPL27A	0.999
GTF2A2	POLR2L	0.998
PFDN4	VBP1	0.999
MRPL19	MRPL17	0.999
RPL19	RPS15	0.999
RPLP0	RPL23	0.999
RPS6	RSL24D1	0.977
PSMD14	PSMB8	0.998
CASP1	CASP4	0.964
EIF3E	RPL27	0.981
RPS20	EIF3H	0.989
RPLP1	RPS8	0.999
MRPS33	MRPL32	0.995
SNRNP40	LSM6	0.997
RPL13A	RPL37A	0.999
RPS15	RPS18	0.999
HIST3H2A	UBA52	0.973
SUMO1	NSMCE2	0.977
RANBP1	RANGAP1	0.996
MRPL39	MRPL1	0.995
MRPL3	MRPL20	0.996
RPS27L	RPS29	0.998
FAU	RPL22L1	0.997
RPS19	RPS18	0.999
RPL21	EIF3H	0.961
RPLP0	EIF3M	0.981
ATP5PB	NDUFB5	0.992
RPL6	RPL39L	0.993
MRPL16	MRPL11	0.999
RPS15A	RPL36AL	0.997
NDUFB5	UQCRH	0.988
PSPN	RET	0.98
RPLP1	RPL14	0.999
RPL5	MRPL36	0.967
RPS15	RPL27A	0.999
RPL10	RPL29	0.999
TBL3	RPS28	0.977
RPL26L1	RPL39	0.997
RPLP1	RPL23A	0.999
RPL19	RPS6	0.999
RPL34	RPL23	0.999
MRPS28	MRPL54	0.982
RPS25	RPL5	0.999
NEK2	TOP2A	0.955
IFIT2	IFI6	0.983
CCND1	CDKN1C	0.992
BUB1B	ANAPC10	0.999
RPS13	RPL37A	0.999
RPS13	UBA52	0.999
RPS8	IMP3	0.988
SP100	TRIM21	0.951
MRPS28	MRPS23	0.987
RPL38	RPS18	0.999
OAS3	TRIM22	0.951
CCNB1	BUB1	0.997
IFI35	IFITM1	0.984
RPL6	RPS12	0.999
NDUFB5	NDUFA7	0.998
LIFR	LIF	0.988
PHF5A	SNRPD1	0.999
KAT2B	GTF2B	0.965
FOSB	FOS	0.983
UBE2L6	UBE2V2	0.959
MRPL27	MRPL34	0.992
ANAPC10	CDC26	0.999
RPL19	EIF3M	0.957
MRPL34	MRPL35	0.995
CARMIL1	CAPZA2	0.991
SF3A2	SNRPC	0.987
NDUFB5	UQCRFS1	0.986
PSMA2	PSMA5	0.999
RPLP2	RPL39	0.999
RPL36AL	RPL39	0.998
AK2	ADK	0.979
RPL27	RPL9	0.999
PSMA3	PSMA2	0.999
CBX3	PCGF6	0.958
MRPL39	CHCHD1	0.974
RPL30	RPL39	0.999
EMC4	EMC7	0.996
CCNB2	CDC25C	0.991
RPL21	RPL27	0.999
RPL32	RPL10	0.998
RPS24	RPL12	0.999
SKP1	UBE2C	0.958
NDUFS5	NDUFA7	0.999
RPL23A	RPL39	0.999
BUB1B	PTTG1	0.975
RPL34	RPLP1	0.999
SAMHD1	BST2	0.978
ELOC	LRR1	0.952
RPLP0	RPL27A	0.999
COX6A1	COX7C	0.997
NDUFB3	NDUFA6	0.999
MRPL32	MRPS14	0.998
NDUFS4	NDUFS5	0.999
MRPL3	MRPL50	0.997
NDUFB2	UQCR10	0.964
MRPL39	MRPL21	0.977
NDUFB1	NDUFA7	0.997
RPS25	RPL29	0.999
RPS20	RPS3A	0.999
MRPL15	MRPL58	0.995
RPL5	RPL36AL	0.997
MRPS18C	MRPL13	0.995
RSAD2	ISG20	0.973
FAS	CASP7	0.952
OIP5	CENPA	0.994
MRPL11	MRPS22	0.993
CENPH	BUB1B	0.974
RPL35	RPLP2	0.999
MRPL51	MRPS28	0.982
RPL5	RPS27A	0.999
RPS12	RPL27A	0.999
MRPS28	MRPS22	0.999
ASB2	RNF7	0.956
EIF3M	RPS29	0.988
RPS15	RPL39	0.999
RPL31	RPL7A	0.999
SMPD3	SMPD2	0.966
RPL32	RPS4X	0.999
RPS16	RPL21	0.999
OAS3	GBP1	0.968
RPS25	RPSA	0.999
JAK2	LYN	0.95
NDUFA9	ATP5F1C	0.951
MRPL22	MRPL15	0.997
RPL11	RPL10A	0.999
COPS5	COPS8	0.999
NDUFAB1	NDUFA5	0.999
RPL13A	RPS3A	0.999
RPS16	IMP3	0.99
VAMP8	STX8	0.974
RSL24D1	RPL23A	0.958
ITGB3BP	MAD2L1	0.965
RPS11	RPS27A	0.999
RPLP1	RPS21	0.999
SNRPB2	SNRPD1	0.999
NDUFB3	NDUFS3	0.999
KIF18A	CENPN	0.956
RPS20	RPS6	0.999
RPL26L1	RPL23	0.999
SEC61B	RPL39	0.996
RPS19	RPS13	0.999
RPL39L	RPS21	0.996
RNF7	COPS5	0.967
GUCY1B1	GUCY1A1	0.999
SEC61B	RPS24	0.996
DDX58	IRF7	0.995
RPS27A	RPL22L1	0.994
THOC7	CSTF3	0.95
MRPL32	MRPS16	0.999
RPS25	RPLP1	0.999
XAB2	SYF2	0.999
RPL6	SRP9	0.971
LSM5	LSM1	0.999
RPL30	RPLP2	0.999
RSAD2	STAT2	0.967
RPS13	RPL23	0.999
SF3B6	LSM3	0.966
EIF3M	RPL12	0.965
RPS6	NSA2	0.972
RPS19	RPL39	0.999
OAS2	STAT2	0.97
MRPS28	MRPL20	0.984
EEF1B2	RPS3A	0.964
POLR2F	SF3B5	0.953
GTF2A2	POLR2G	0.996
NDUFAB1	UQCRH	0.975
SEC61B	RPL24	0.996
PSMA2	POMP	0.977
MRPL18	MRPL21	0.986
RPS20	RPS16	0.999
MRPL47	MRPS22	0.991
RPS19	RPL23A	0.999
EIF3E	RPL35	0.954
PRIM2	PRIM1	0.999
RPL31	RPS24	0.999
RPLP0	RPL7	0.999
NDUFB9	ATP5PD	0.957
GGCT	OPLAH	0.992
FAS	TNFSF10	0.97
RPL7A	RPL39	0.999
COX5B	COA6	0.963
NDUFA2	NDUFA9	0.999
MRPL57	MRPL11	0.981
SNAP23	STX1B	0.979
RPS24	RPL10A	0.999
PCLAF	CDK1	0.952
RPS15A	RPL32	0.999
DVL2	FZD3	0.984
ZWINT	CENPN	0.976
SUMO1	TOP2A	0.955
RPL19	RPL15	0.999
MRPS18C	CHCHD1	0.995
EIF4E	AKT1S1	0.965
RPS19	RPL38	0.999
MRPL27	MRPS23	0.986
UBE2L6	UBA52	0.994
RPS12	RPL29	0.999
NDUFAB1	NDUFB4	0.998
RPS3	RPS4X	0.999
RPF1	RPF2	0.993
BUB1B	CDK1	0.999
RPS20	SNU13	0.97
NEK2	CCNA2	0.965
SNU13	RPS6	0.992
RPS27L	UBA52	0.997
RPL19	RPL39	0.999
NDUFC1	NDUFB9	0.998
RPL27	RPLP1	0.999
RPL35	RPL12	0.999
SEC61B	RPL22L1	0.979
COX7A2L	COX7C	0.979
RPS15A	RPL29	0.999
UQCRQ	NDUFS3	0.985
UQCRFS1	NDUFA4	0.977
RPS16	RPL36AL	0.995
SNRPD1	SART1	0.998
RPL30	RPS18	0.999
RPS12	RPL12	0.999
MRPS33	MRPS23	0.997
RPS11	UBA52	0.999
NDUFC1	NDUFA1	0.998
LSM8	CSTF3	0.953
RPL7	EIF3H	0.961
STAT2	ISG20	0.954
RPL32	RPL38	0.999
PSMA5	PSMB8	0.999
EIF3H	RPS3	0.993
RPL32	RPL27A	0.999
SRP9	UBA52	0.995
GBP1	TRIM22	0.978
POLR2G	GTF2H5	0.996
SKP1	UBE2B	0.989
RPLP0	RPS15A	0.999
SRP14	RPS3A	0.996
RPS12	SEC61G	0.996
EIF3H	RPL23A	0.964
BIRC5	KIF20A	0.992
RPS24	RPSA	0.999
LSM7	LSM3	0.999
TIMM10	TIMM8B	0.974
RPL6	RPL23A	0.999
DLGAP5	CDK1	0.996
RPL26L1	RPS19	0.998
RPL9	RPL27A	0.999
PSMA3	UBA52	0.996
ISG20	IFIT1	0.972
RPS6	RPS29	0.999
MRPS16	MRPS21	0.983
RPS12	RPS29	0.999
PSMD14	PSMD6	0.999
MRPL58	MRPL40	0.997
MX2	IRF7	0.991
RPL5	RPS8	0.999
RPS6	RPS14	0.999
RPL19	RPL7A	0.999
RPS15	RPL10A	0.999
PSMA3	NEDD8	0.971
MRPS18C	MRPL58	0.987
RPL13A	RPL23A	0.999
MRPL34	MRPL16	0.994
NDUFB3	NDUFS4	0.999
TIMM9	TIMM8A	0.996
MRPL35	MRPS18C	0.987
ST3GAL1	C1GALT1C1	0.972
RPS20	RPS29	0.999
RPL5	RPL7	0.999
RPL24	RPS4X	0.999
SRP9	RPS29	0.979
RPS15A	RPL15	0.999
RPL7A	RPL15	0.999
RPL27	EIF3H	0.958
RPL30	RPS29	0.999
RPL23	RPLP1	0.999
SRP14	RPL22L1	0.973
MRPL22	MRPS18C	0.961
SAMHD1	MX2	0.966
BTF3	NACA	0.999
EIF3E	RPS15A	0.998
RPS12	RPL24	0.999
POLR2F	GTF2F2	0.997
RPL7A	RPL12	0.999
RPL22L1	RPL36AL	0.996
MRPL35	MRPL16	0.983
MRPL13	MRPL48	0.992
MRPL43	MRPL47	0.999
RPS13	SRP9	0.987
RPL24	RPSA	0.999
RPS13	RPL23A	0.999
MRPL50	MRPL20	0.998
HIST2H2AC	HIST1H2BH	0.97
KIF18A	CENPH	0.957
RPS3A	RPL29	0.999
RPL7	FAU	0.999
EIF3M	RPL10A	0.97
LSM6	SART1	0.998
RPS6	RPL12	0.999
CCNB1	CCNH	0.964
RPL36AL	RPL15	0.997
SNRPD2	LSM3	0.999
RPL37	RPL10	0.996
ZWINT	CCNB2	0.987
ANAPC13	BUB1B	0.954
MRPL43	MRPL57	0.986
RPL37	RPL30	0.999
RPS27A	RPS4X	0.999
RPL30	RPL37A	0.999
BUB1	UBE2C	0.971
PHF5A	LSM7	0.997
NDUFS5	NDUFS3	0.999
EIF3H	RPL38	0.955
TOP2A	BUB1	0.99
EIF3M	RPL15	0.986
RPL27	EIF3M	0.984
CCND1	GADD45A	0.952
NDUFAF4	NDUFS3	0.988
RPS3A	RPL14	0.999
NDUFB3	NDUFA2	0.999
NDC80	TOP2A	0.97
NLRC4	IL18	0.962
RPL5	RPLP1	0.999
FAU	RPS28	0.999
RPLP0	RPL21	0.999
IMP3	TBL3	0.998
RPS3A	EIF3H	0.993
ISG20	IRF7	0.974
RPL36	RPS14	0.999
COX7A2L	CYCS	0.973
ATP5F1E	MT-ATP6	0.988
TOMM22	TOMM7	0.999
NDC80	DLGAP5	0.983
NTN1	DRAXIN	0.974
SNU13	POLR2F	0.952
TTK	NUF2	0.989
NDUFB1	NDUFA6	0.999
MRPL27	MRPL33	0.998
RPS13	RPLP1	0.999
PCNA	UBE2N	0.967
RPLP0	RPS28	0.999
RPS11	RPL27A	0.999
RPL21	RPS3	0.999
MRPL48	MRPS21	0.973
PFDN1	PFDN2	0.999
MRPS28	MRPL21	0.985
RPL6	RPL30	0.999
CCND1	CDK1	0.985
ANAPC11	CCNA2	0.962
RPL13A	RPS28	0.999
EIF3E	RPL21	0.958
ITGB3BP	CENPH	0.976
RPS24	RPL30	0.999
RPS12	TPT1	0.969
BST2	IFI27	0.951
SNU13	LSM8	0.997
SNRPC	SNRPE	0.999
ELOB	SKP1	0.97
PSMB4	PSMB9	0.999
RPL36	SEC61G	0.998
SRP9	RPS3	0.975
DAD1	OSTC	0.972
RPL23	RPL37A	0.999
OAS3	RSAD2	0.99
HIST3H2A	HIST2H2AC	0.979
COX7A2	COX6C	0.986
RPL27	RPL10A	0.999
RPL30	RPL29	0.999
MRPL19	MRPL48	0.984
AMPD3	GMPR	0.955
RPS12	RPL7A	0.999
POLR2F	POLR3K	0.998
EXOSC1	C1D	0.999
NDUFC1	NDUFB3	0.999
RPLP2	RPL10A	0.999
SNU13	RNPC3	0.973
SNRPB2	SNRPE	0.999
RPL5	NSA2	0.974
MRPL27	MRPL17	0.999
OAS3	IRF7	0.984
MRPL17	MRPL40	0.999
ANXA1	DYSF	0.986
RPS3	RPLP2	0.999
RPS24	RPLP2	0.999
UBE2N	UBA52	0.996
BIRC5	UBE2C	0.983
MRPL43	MRPS33	0.986
RPL14	RPS18	0.999
CBX3	H3F3A	0.98
IFI44	IFIT1	0.961
RPL15	RPS4X	0.999
RPL10	RPL10A	0.999
MRPL57	MRPS23	0.981
RPS15A	RPS14	0.999
RPS16	RPL7A	0.999
RPL36	RPS3A	0.999
SRP14	RPL38	0.996
RPL32	RPL37	0.999
RPL39L	RPS28	0.997
SRP14	UBA52	0.996
NDC80	BIRC5	0.994
RPS3A	RPS28	0.999
SNRPG	RNPC3	0.99
SEC61B	RPL19	0.996
RPS15	MRPL36	0.959
SNRPF	LSM3	0.999
RPL12	RPS4X	0.999
RPL5	RPL23	0.999
RPL26L1	RPLP1	0.997
RPS15	RPL27	0.999
RPS25	RPL22L1	0.996
RPS12	RPL21	0.999
FAU	RPS26	0.999
RPL29	RPSA	0.999
SRP14	SRP9	0.999
RPS6	RPL38	0.999
